,Unnamed: 0,Meteor Score,Bleu Score,Rouge-1 Score,Gunning-Fog Index,Flesch-Kincaid,TOPSIS Score,Rank
0,bart-large-cnn,0.2196024302216389,3.657374658445375,0.393939393939394,12.68,10.2,0.6807298634492426,2.0
1,t5-tokenizer,0.1812262357414448,4.007934791773509,0.3676470588235294,7.25,8.4,0.7821523518482489,1.0
2,bart-large-cnn-samsum,0.1542008360190178,0.773349366332444,0.360655737704918,9.8,9.3,0.1792080539875507,4.0
3,distilbart-cnn,0.1975899344320397,1.7883835844570894,0.4122137404580153,12.68,11.1,0.357556918123921,3.0
0,bart-large-cnn,0.2178972368756338,5.652792120848669,0.4680851063829787,14.32,10.8,0.5848886895080377,2.0
1,t5-tokenizer,0.1633368598090278,2.9685766854521862,0.3401360544217687,9.17,12.2,0.3804122113515688,4.0
2,bart-large-cnn-samsum,0.202219090590185,6.387366278698124,0.4475524475524475,16.08,13.5,0.5519794424430555,3.0
3,distilbart-cnn,0.2414988087502707,6.62825119215785,0.4202898550724637,11.41,10.4,0.7723432954425226,1.0
0,bart-large-cnn,0.1491942974030871,3.350138236407421,0.3378378378378378,12.68,11.1,0.424205023351674,3.0
1,t5-tokenizer,0.1978877167494154,6.824422379306895,0.408450704225352,13.16,10.3,0.856717807447173,1.0
2,bart-large-cnn-samsum,0.1771733740225061,3.506126926230256,0.4054054054054054,11.34,8.1,0.4982126502853275,2.0
3,distilbart-cnn,0.1598166834453211,1.0237198572102282,0.2302158273381294,15.91,13.9,0.1899715216448679,4.0
0,bart-large-cnn,0.1883696144131517,5.34733679627977,0.3150684931506849,9.32,7.3,0.7073211131120161,2.0
1,t5-tokenizer,0.1924212987638189,5.06489571928138,0.3466666666666667,10.74,7.7,0.6745278951889813,3.0
2,bart-large-cnn-samsum,0.2054851177459196,7.067581985207217,0.3312101910828025,13.07,8.9,0.7823938972504241,1.0
3,distilbart-cnn,0.1624358464808446,1.028423134067138,0.25,10.07,8.3,0.1860880807119447,4.0
0,bart-large-cnn,0.1483928571428571,1.559808457018909,0.2777777777777778,19.42,13.9,0.2745485563387784,4.0
1,t5-tokenizer,0.1416658582766562,0.7524745452856558,0.2429906542056074,9.18,5.6,0.3296684223136619,3.0
2,bart-large-cnn-samsum,0.1810493506493506,9.05305293061464,0.3551401869158878,15.31,11.1,0.7166933928626454,2.0
3,distilbart-cnn,0.186121744037089,9.388487572282711,0.3508771929824561,8.0,8.4,0.8205687474153848,1.0
