,Unnamed: 0,Meteor Score,Bleu Score,Rouge-1 Score,Gunning-Fog Index,Flesch-Kincaid,TOPSIS Score,Rank
0,bart-large-cnn,0.2645276910625506,7.723827732241099,0.384,11.47,8.0,0.5113179339076919,2.0
1,t5-tokenizer,0.2743377483443709,7.426852599646426,0.3692307692307691,16.0,13.6,0.4765605884897326,3.0
2,distilbart-cnn,0.3045449579372882,4.979767758729947,0.432,12.49,9.3,0.3652590995894898,4.0
3,bart-large-cnn-samsum,0.2811804008908686,9.247551965092802,0.416,10.36,8.0,0.6520900111019298,1.0
0,bart-large-cnn,0.4951352014771077,26.608341654229548,0.6379310344827587,15.24,12.2,0.8732844299535848,2.0
1,t5-tokenizer,0.1352626509787588,0.531237770723851,0.2040816326530612,11.56,7.8,0.165110163823944,4.0
2,distilbart-cnn,0.5166045548654243,27.61760367254489,0.6554621848739497,14.97,11.4,0.8834137698544021,1.0
3,bart-large-cnn-samsum,0.3931989924433249,19.50808267440216,0.5504587155963303,17.39,13.5,0.6681409620095742,3.0
0,bart-large-cnn,0.2784538495838288,10.33371333565993,0.4561403508771929,9.25,6.7,0.2908048033406158,3.0
1,t5-tokenizer,0.286039970290493,12.378256062124688,0.4067796610169492,6.0,4.8,0.4846465839821529,2.0
2,distilbart-cnn,0.2988787161499215,7.475518080175467,0.4380952380952381,8.1,5.5,0.1780955123592177,4.0
3,bart-large-cnn-samsum,0.3464493597206053,18.03982743467027,0.4806201550387596,8.0,7.1,0.7899372440944331,1.0
0,bart-large-cnn,0.2275747827237081,4.4961546264099495,0.368,21.17,17.4,0.6305474279507736,1.0
1,t5-tokenizer,0.1627438507209499,1.234138126076006,0.2692307692307692,8.11,11.3,0.3728815328992103,3.0
2,distilbart-cnn,0.1498706685354209,3.343717665499166,0.293103448275862,19.67,15.6,0.4290866542921207,2.0
3,bart-large-cnn-samsum,0.2081010101010101,1.3553752627715372,0.3928571428571428,17.03,14.4,0.3401359194526849,4.0
0,bart-large-cnn,0.2463782891150832,5.057381350161286,0.4724409448818898,9.04,7.1,0.7457168576604644,1.0
1,t5-tokenizer,0.1961543963379744,1.9864261026891583,0.3968253968253968,10.4,7.2,0.1876064077969763,4.0
2,distilbart-cnn,0.2010784940236175,3.2986715836982423,0.3941605839416058,12.71,11.2,0.4284171468961222,3.0
3,bart-large-cnn-samsum,0.2080924855491329,3.789361346625663,0.4592592592592593,9.47,6.7,0.5193393019065453,2.0
