,Unnamed: 0,Meteor Score,Bleu Score,Rouge-1 Score,Gunning-Fog Index,Flesch-Kincaid,TOPSIS Score,Rank
0,bart-large-cnn,0.1992731314151309,3.556853729904157,0.3188405797101449,9.56,6.8,0.1491600417061359,4.0
1,t5-tokenizer,0.1864490560474534,4.986463234233389,0.2727272727272727,9.38,7.5,0.201449174498625,3.0
2,distilbart-cnn,0.3243833504624871,9.73779454534665,0.4459459459459459,10.34,8.2,0.7700674955539465,2.0
3,bart-large-cnn-samsum,0.3725044204501788,9.54145033162854,0.5151515151515151,8.41,5.1,0.8198994461505797,1.0
0,bart-large-cnn,0.26070035968231,11.050183756796304,0.4121212121212121,9.41,8.3,0.7411945416126007,1.0
1,t5-tokenizer,0.2451060712667829,8.937776547803015,0.4027777777777778,8.61,7.8,0.3747913176546411,3.0
2,distilbart-cnn,0.2632176349496797,7.662260825319693,0.3741935483870968,8.91,8.2,0.2220578371534279,4.0
3,bart-large-cnn-samsum,0.2763065349932242,9.421249961716503,0.4223602484472049,8.93,9.0,0.6238586311901474,2.0
0,bart-large-cnn,0.2765167891627035,4.722297685664302,0.3826086956521738,8.04,6.4,0.3778113314035906,3.0
1,t5-tokenizer,0.1888156837538165,2.603266985519197,0.3396226415094339,6.96,5.3,0.1842728784150111,4.0
2,distilbart-cnn,0.3908739591060589,8.817063186153424,0.548148148148148,9.53,8.4,0.8157271215849888,1.0
3,bart-large-cnn-samsum,0.3391061019362388,8.723413088190934,0.5,8.16,6.9,0.786700981915982,2.0
0,bart-large-cnn,0.2139623422986037,6.269621711834716,0.3826086956521739,12.76,11.2,0.3323598838810669,3.0
1,t5-tokenizer,0.1973885193397388,4.812779472280591,0.3443708609271523,12.71,10.1,0.1932544241916304,4.0
2,distilbart-cnn,0.258961543801194,10.62101046280114,0.40625,15.64,13.0,0.8062137680044753,1.0
3,bart-large-cnn-samsum,0.2307201095758562,6.194225297628489,0.3884892086330935,12.7,10.1,0.3599921010859968,2.0
0,bart-large-cnn,0.3066927931792796,11.8979258457767,0.4409448818897638,17.42,15.2,0.8040808678890057,1.0
1,t5-tokenizer,0.1676423796917543,2.2736210619635666,0.2764227642276423,12.06,11.2,0.2058760571431207,4.0
2,distilbart-cnn,0.2587113107085987,10.589015684185023,0.3709677419354838,17.81,15.9,0.6847931520810754,2.0
3,bart-large-cnn-samsum,0.2592617603058511,9.071448837323013,0.3902439024390244,17.03,14.7,0.6451206304989021,3.0
